rodada,time,pontos
19,"Mais um ano sem título FC",73.50
19,Miister'Rei!,66.02
19,"PANKADA FC",33.76
19,"Paulinho dj",59.76
19,"RAMB006 FC",64.96
19,"ramos lm fc",43.90
19,"SEM EXPECTATIVAS F.C.",53.76
19,"SOCANDO A BUXA F.C",53.56
19,"SP - TIME GRANDE NÃO CAI",85.96
19,"Sub-100 FC",71.92
19,"Turquissimo FC",55.26
19,Ultiminho,63.52
19,Waysys,66.46
20,"3M F.",73.37
20,"amigos do maraca",78.32
20,"Baldexx FC",69.35
20,"Cambridge United Fcc",75.22
20,Canabisativa50,66.22
20,"Careca Master FC",60.87
20,"Chama no como e que chama",60.13
20,"Club Atlético Não Para",62.02
20,"CoelhoLoko F.C",87.35
20,COELHOLOKOFEST,62.25
20,"Couto Azarão",64.22
20,"De Quebrada10 FC",96.22
20,"E.C TuaMãe",60.62
20,HEXEN,55.83
20,"Iron Jegue FC",43.48
20,"JHN JAMAICA 2018",41.23
20,JNBTeam,66.35
20,"L.A.R.1 Club",71.98
20,LFBoleiros,57.68
20,"Mais um ano sem título FC",70.45
20,Miister'Rei!,65.72
20,"PANKADA FC",65.35
20,"Paulinho dj",72.75
20,"RAMB006 FC",71.15
20,"ramos lm fc",21.70
20,"SEM EXPECTATIVAS F.C.",81.36
20,"SOCANDO A BUXA F.C",55.88
20,"SP - TIME GRANDE NÃO CAI",52.23
20,"Sub-100 FC",79.92
20,"Turquissimo FC",73.02
20,Ultiminho,79.12
20,Waysys,59.73
21,"3M F.",72.86
21,"amigos do maraca",56.70
21,"Baldexx FC",45.30
21,"Cambridge United Fcc",55.50
21,Canabisativa50,71.00
21,"Careca Master FC",17.76
21,"Chama no como e que chama",61.76
21,"Club Atlético Não Para",62.30
21,"CoelhoLoko F.C",68.63
21,COELHOLOKOFEST,64.70
21,"Couto Azarão",51.50
21,"De Quebrada10 FC",37.10
21,"E.C TuaMãe",78.80
21,HEXEN,56.63
21,"Iron Jegue FC",61.56
21,"JHN JAMAICA 2018",67.92
21,JNBTeam,79.70
21,"L.A.R.1 Club",49.65
21,LFBoleiros,48.75
21,"Mais um ano sem título FC",42.05
21,Miister'Rei!,69.90
21,"PANKADA FC",74.00
21,"Paulinho dj",48.90
21,"RAMB006 FC",62.10
21,"ramos lm fc",65.06
21,"SEM EXPECTATIVAS F.C.",61.50
21,"SOCANDO A BUXA F.C",55.35
21,"SP - TIME GRANDE NÃO CAI",71.96
21,"Sub-100 FC",75.20
21,"Turquissimo FC",82.00
21,Ultiminho,53.60
21,Waysys,58.50
22,"3M F.",45.76
22,"amigos do maraca",79.61
22,"Baldexx FC",19.03
22,"Cambridge United Fcc",60.06
22,Canabisativa50,55.71
22,"Careca Master FC",43.90
22,"Chama no como e que chama",69.36
22,"Club Atlético Não Para",52.41
22,"CoelhoLoko F.C",46.35
22,COELHOLOKOFEST,88.81
22,"Couto Azarão",48.15
22,"De Quebrada10 FC",58.63
22,"E.C TuaMãe",42.03
22,HEXEN,51.06
22,"Iron Jegue FC",32.80
22,"JHN JAMAICA 2018",19.31
22,JNBTeam,79.81
22,"L.A.R.1 Club",57.73
22,LFBoleiros,25.06
22,"Mais um ano sem título FC",43.00
22,Miister'Rei!,48.21
22,"PANKADA FC",52.21
22,"Paulinho dj",36.11
22,"RAMB006 FC",52.73
22,"ramos lm fc",22.96
22,"SEM EXPECTATIVAS F.C.",61.46
22,"SOCANDO A BUXA F.C",29.46
22,"SP - TIME GRANDE NÃO CAI",53.03
22,"Sub-100 FC",86.21
22,"Turquissimo FC",43.81
22,Ultiminho,39.61
22,Waysys,67.64
23,"3M F.",52.76
23,"amigos do maraca",52.96
23,"Baldexx FC",29.56
23,"Cambridge United Fcc",62.16
23,Canabisativa50,54.86
23,"Careca Master FC",28.40
23,"Chama no como e que chama",41.28
23,"Club Atlético Não Para",50.36
23,"CoelhoLoko F.C",57.36
23,COELHOLOKOFEST,50.46
23,"Couto Azarão",67.76
23,"De Quebrada10 FC",49.66
23,"E.C TuaMãe",41.06
23,HEXEN,46.12
23,"Iron Jegue FC",68.22
23,"JHN JAMAICA 2018",60.66
23,JNBTeam,67.96
23,"L.A.R.1 Club",61.26
23,LFBoleiros,32.66
23,"Mais um ano sem título FC",70.06
23,Miister'Rei!,48.96
23,"PANKADA FC",62.36
23,"Paulinho dj",65.52
23,"RAMB006 FC",45.52
23,"ramos lm fc",31.22
23,"SEM EXPECTATIVAS F.C.",31.17
23,"SOCANDO A BUXA F.C",7.25
23,"SP - TIME GRANDE NÃO CAI",65.98
23,"Sub-100 FC",46.66
23,"Turquissimo FC",65.62
23,Ultiminho,96.16
23,Waysys,61.06
24,"3M F.",88.75
24,"amigos do maraca",100.95
24,"Baldexx FC",70.56
24,"Cambridge United Fcc",97.12
24,Canabisativa50,112.25
24,"Careca Master FC",37.50
24,"Chama no como e que chama",88.72
24,"Club Atlético Não Para",91.62
24,"CoelhoLoko F.C",97.55
24,COELHOLOKOFEST,86.59
24,"Couto Azarão",87.96
24,"De Quebrada10 FC",64.45
24,"E.C TuaMãe",69.02
24,HEXEN,58.37
24,"Iron Jegue FC",70.02
24,"JHN JAMAICA 2018",67.25
24,JNBTeam,99.35
24,"L.A.R.1 Club",70.52
24,LFBoleiros,27.34
24,"Mais um ano sem título FC",62.67
24,Miister'Rei!,100.85
24,"PANKADA FC",70.37
24,"Paulinho dj",94.35
24,"RAMB006 FC",104.52
24,"ramos lm fc",34.02
24,"SEM EXPECTATIVAS F.C.",106.95
24,"SOCANDO A BUXA F.C",101.72
24,"SP - TIME GRANDE NÃO CAI",63.52
24,"Sub-100 FC",103.25
24,"Turquissimo FC",110.55
24,Ultiminho,73.95
24,Waysys,74.12
25,"3M F.",54.91
25,"amigos do maraca",60.21
25,"Baldexx FC",17.26
25,"Cambridge United Fcc",75.31
25,Canabisativa50,49.31
25,"Careca Master FC",13.40
25,"Chama no como e que chama",42.28
25,"Club Atlético Não Para",79.31
25,"CoelhoLoko F.C",54.31
25,COELHOLOKOFEST,46.41
25,"Couto Azarão",31.51
25,"De Quebrada10 FC",43.66
25,"E.C TuaMãe",73.21
25,HEXEN,58.97
25,"Iron Jegue FC",69.13
25,"JHN JAMAICA 2018",40.81
25,JNBTeam,56.41
25,"L.A.R.1 Club",49.65
25,LFBoleiros,22.77
25,"Mais um ano sem título FC",16.48
25,Miister'Rei!,37.31
25,"PANKADA FC",8.18
25,"Paulinho dj",35.61
25,"RAMB006 FC",66.81
25,"ramos lm fc",49.73
25,"SEM EXPECTATIVAS F.C.",68.51
25,"SOCANDO A BUXA F.C",26.23
25,"SP - TIME GRANDE NÃO CAI",55.08
25,"Sub-100 FC",47.11
25,"Turquissimo FC",56.91
25,Ultiminho,58.27
25,Waysys,88.61
26,"3M F.",58.62
26,"amigos do maraca",53.97
26,"Baldexx FC",49.64
26,"Cambridge United Fcc",101.13
26,Canabisativa50,64.07
26,"Careca Master FC",31.20
26,"Chama no como e que chama",77.92
26,"Club Atlético Não Para",81.87
26,"CoelhoLoko F.C",70.17
26,COELHOLOKOFEST,81.17
26,"Couto Azarão",101.67
26,"De Quebrada10 FC",76.12
26,"E.C TuaMãe",56.72
26,HEXEN,46.57
26,"Iron Jegue FC",58.65
26,"JHN JAMAICA 2018",45.42
26,JNBTeam,88.47
26,"L.A.R.1 Club",100.23
26,LFBoleiros,48.40
26,"Mais um ano sem título FC",34.42
26,Miister'Rei!,74.12
26,"PANKADA FC",82.12
26,"Paulinho dj",69.12
26,"RAMB006 FC",73.42
26,"ramos lm fc",25.68
26,"SEM EXPECTATIVAS F.C.",48.92
26,"SOCANDO A BUXA F.C",86.85
26,"SP - TIME GRANDE NÃO CAI",67.82
26,"Sub-100 FC",76.67
26,"Turquissimo FC",100.67
26,Ultiminho,75.92
26,Waysys,77.97
27,"3M F.",64.40
27,"amigos do maraca",66.76
27,"Baldexx FC",68.85
27,"Cambridge United Fcc",53.63
27,Canabisativa50,92.03
27,"Careca Master FC",31.20
27,"Chama no como e que chama",57.70
27,"Club Atlético Não Para",63.96
27,"CoelhoLoko F.C",37.23
27,COELHOLOKOFEST,62.06
27,"Couto Azarão",74.16
27,"De Quebrada10 FC",67.15
27,"E.C TuaMãe",74.36
